 # Date of Experiment: 19/34/02013
 # Time of Experiment: 02:34:42
 # Laser Diode Temp (C): 0.00000
 # Laser Diode Operating Hours (h): 0.00000
 # Laser Diode Current (A): 0.00000
 # AOD ANDOR center x (pixels): 267.417
 # AOD ANDOR center y (pixels): 269.073
 # AOD ANDOR range x (pixels): 24.5833
 # AOD ANDOR range y (pixels): 24.2917
 # AOD CCD center x (pixels): 430.500
 # AOD CCD center y (pixels): 246.000
 # AOD CCD range x (pixels): 92.5833
 # AOD CCD range y (pixels): 113.000
 # PM ANDOR center x (pixels): 271.750
 # PM ANDOR center y (pixels): 274.417
 # PM ANDOR range x (pixels): 13.5000
 # PM ANDOR range y (pixels): 9.41667
 # PM CCD center x (pixels): 444.500
 # PM CCD center y (pixels): 275.167
 # PM CCD range x (pixels): 54.0000
 # PM CCD range y (pixels): 43.6667
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 74.1000
 # CCD pixel size y (nm): 61.6000
 # AOD detector x offset (V): -0.139419
 # AOD detector y offset (V): 0.370289
 # AOD trap stiffness x (pN/nm): 0.0932360
 # AOD trap stiffness y (pN/nm): 0.0771160
 # AOD trap distance conversion x (V/Nm): 0.000625000
 # AOD trap distance conversion y (V/Nm): 0.000606000
 # PM detector x offset (V): -0.107602
 # PM detector y offset (V): 0.00565500
 # PM trap stiffness x (pN/nm): 0.116529
 # PM trap stiffness y (pN/nm): 0.0791500
 # PM trap distance conversion x (V/nm): 0.000854000
 # PM trap distance conversion y (V/nm): 0.000695000
 # AOD bead radius (um): 1.00000
 # PM bead radius  (um): 1.08000
 # Sample rate (Hz): 1000
 # Number of samples (int): 10
 # Delta time (s): 0.0100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force felt by AOD (pN)	Force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)
129775200.000000	226633.089000	21217.655240	0.000000	4242.846324	4143.164200	0.116067	0.172577	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467860	0.460475	-0.106651	0.004656	3.176055	-0.138892	0.370960	3.207998	-5.023620	0.148390	-0.131250	-0.061218	-0.239639	-0.767845	-0.057382
129775200.000000	226633.094000	21217.660413	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.096000	21217.661409	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.098000	21217.663194	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.099000	21217.664104	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.100000	21217.665560	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.101000	21217.665878	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.102000	21217.667929	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.103000	21217.667961	0.000000	4247.513418	4143.164200	0.176702	0.392274	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468004	0.460331	-0.107554	0.002211	3.175608	-0.139211	0.371656	3.211394	-5.023620	0.148390	-0.131250	-0.061123	-0.239064	-0.768588	-0.055305
129775200.000000	226633.104000	21217.669704	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.105000	21217.671419	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.107000	21217.673729	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.109000	21217.674980	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.110000	21217.675669	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.111000	21217.676901	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.112000	21217.677792	0.000000	4243.222699	4143.164200	0.152500	0.208897	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.467852	0.460411	-0.106491	0.004393	3.175272	-0.140266	0.370960	3.210939	-5.023620	0.148390	-0.131250	-0.060211	-0.239072	-0.768852	-0.055952
129775200.000000	226633.113000	21217.679621	0.000000	4243.293784	4143.164200	0.285656	0.280917	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468068	0.460387	-0.106779	0.003394	3.173874	-0.137509	0.370129	3.205561	-5.023620	0.148390	-0.131250	-0.059692	-0.239935	-0.767997	-0.057942
129775200.000000	226633.115000	21217.680662	0.000000	4243.293784	4143.164200	0.285656	0.280917	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468068	0.460387	-0.106779	0.003394	3.173874	-0.137509	0.370129	3.205561	-5.023620	0.148390	-0.131250	-0.059692	-0.239935	-0.767997	-0.057942
129775200.000000	226633.116000	21217.681577	0.000000	4243.293784	4143.164200	0.285656	0.280917	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468068	0.460387	-0.106779	0.003394	3.173874	-0.137509	0.370129	3.205561	-5.023620	0.148390	-0.131250	-0.059692	-0.239935	-0.767997	-0.057942
129775200.000000	226633.117000	21217.682659	0.000000	4243.293784	4143.164200	0.285656	0.280917	6.805075	6240.298233	-0.008780	-0.287379	-0.272613	0.908314	3.468068	0.460387	-0.106779	0.003394	3.173874	-0.137509	0.370129	3.205561	-5.023620	0.148390	-0.131250	-0.059692	-0.239935	-0.767997	-0.057942
