# Date of Experiment: 3/14/2013
# measurement starttime: 7:05 PM  

# Laser Diode Status

# Laser Diode Operating Hours (h): 0.000000
# Laser Diode Current (A): 0.000000

# results thermal calibration: 

# AOD detector vertical offset:  0.395940
# AOD detector horizontal offset: -0.107869
# AOD vertical trap stiffness (pN/nm): 0.065548
# AOD horizontal trap stiffness (pN/nm): 0.082585
# AOD vertical OLS (V/nm): 0.000433
# AOD horizontal OLS (V/nm): 0.000484
# PM detector vertical offset:  0.022877
# PM detector horizontal offset: -0.117831
# PM vertical trap stiffness (pN/nm): 0.074521
# PM horizontal trap stiffness (pN/nm): 0.084382
# PM vertical OLS (V/nm): 0.000459
# PM horizontal OLS (V/nm): 0.000498
# PM bead diameter (um): 2.000000
# AOD bead diameter (um): 2.000000
# Viscosity (pN s / nm^2): 3.500000E-9

# sample rate (Hz): 10000
# number of samples: 10
# rate of while-loop(Hz):  1000
# dt (s): 0.00100
# data averaged to while-loop: FALSE


                                                                                                                              
# start of measurement (iteration) : 2161878
# end of measurement (iteration) : 2170113
# duration of measurement(s): 8
# errors: 0	0	0	0	0

                                                     
PMxdiff (V)	  PMydiff (V)	  PMxsum (V)	 AODxdiff (V)	 AODydiff (V)	  AODxsum (V)	  FBxsum (V)	 xdist (nm) 	 ydist (nm)  	  FBx (V) 	 FBy (V)	 PMsensorx (V)	 PMsensory (V)	 TrackingReferenceTime

-0.119022	0.019641	3.301812	-0.111417	0.395790	2.893368	0.654844	-0.000212	-2500.241045	-0.012502	-0.165197	4.769982	5.288103	26256934.000000
-0.113723	0.020376	3.300485	-0.108779	0.396709	2.893184	0.655299	-0.000212	-2500.241045	-0.011495	-0.163927	4.769854	5.288015	26256934.000000
-0.115090	0.019960	3.300749	-0.106478	0.397580	2.899194	0.655299	-0.000212	-2500.241045	-0.011966	-0.165685	4.769758	5.288231	26256934.000000
-0.115210	0.018610	3.302547	-0.107844	0.397077	2.899897	0.655883	-0.000212	-2500.241045	-0.011678	-0.164766	4.769766	5.288287	26256934.000000
-0.117120	0.022582	3.302411	-0.106845	0.396462	2.896021	0.656002	-0.000212	-2500.241045	-0.010719	-0.165245	4.769830	5.288159	26256934.000000
-0.117919	0.022326	3.302203	-0.108548	0.399107	2.897811	0.656178	-0.000212	-2500.241045	-0.012502	-0.164406	4.769918	5.288119	26256934.000000
-0.116345	0.022494	3.301164	-0.107069	0.398076	2.897619	0.655723	-0.000212	-2500.241045	-0.012494	-0.165885	4.769942	5.288111	26256934.000000
-0.117671	0.026945	3.300733	-0.107892	0.396542	2.894862	0.654396	-0.000212	-2500.241045	-0.012198	-0.164230	4.769910	5.288055	26256934.000000
-0.114938	0.025970	3.301444	-0.108883	0.396022	2.896692	0.653981	-0.000212	-2500.241045	-0.014499	-0.164870	4.769934	5.288151	26256934.000000
-0.115889	0.018442	3.301636	-0.109251	0.397077	2.884153	0.654900	-0.000212	-2500.241045	-0.015179	-0.164998	4.769870	5.288159	26266136.000000
-0.114171	0.017811	3.301948	-0.107165	0.396518	2.890291	0.656386	-0.000212	-2500.241045	-0.014052	-0.164063	4.769782	5.288199	26266136.000000
-0.113683	0.018362	3.303234	-0.108428	0.398635	2.897827	0.655923	-0.000212	-2500.241045	-0.015211	-0.164150	4.769734	5.288079	26266136.000000
-0.116265	0.014590	3.302659	-0.105607	0.398052	2.891793	0.657041	-0.000212	-2500.241045	-0.015882	-0.162001	4.769710	5.288111	26266237.000000
-0.116760	0.019609	3.302515	-0.106925	0.399770	2.892193	0.656250	-0.000212	-2500.241045	-0.017840	-0.162776	4.769718	5.288111	26266237.000000
-0.117847	0.020752	3.302155	-0.106853	0.400577	2.889396	0.655787	-0.000212	-2500.241045	-0.015123	-0.162792	4.769702	5.288031	26266237.000000
-0.118398	0.020232	3.302171	-0.104632	0.400130	2.896452	0.656074	-0.000212	-2500.241045	-0.016665	-0.162536	4.769502	5.288143	26266237.000000
-0.114554	0.021455	3.302379	-0.108635	0.399778	2.893456	0.656338	-0.000212	-2500.241045	-0.015402	-0.162960	4.769566	5.288167	26266237.000000
-0.117815	0.019417	3.302683	-0.108875	0.397357	2.893128	0.655899	-0.000212	-2500.241045	-0.015379	-0.163056	4.769638	5.288143	26266237.000000
-0.117256	0.019161	3.302283	-0.110258	0.398316	2.898570	0.656306	-0.000212	-2500.241045	-0.013133	-0.164302	4.769758	5.288127	26266237.000000
-0.121084	0.018354	3.303170	-0.110258	0.397636	2.889380	0.655835	-0.000212	-2500.241045	-0.012222	-0.164350	4.769854	5.287991	26266237.000000
