# Date of Experiment: 6/7/2013
# measurement starttime: 12:48 PM  

# Laser Diode Status

# Laser Diode Operating Hours (h): 21179.900000
# Laser Diode Current (A): 13.000000

# results thermal calibration: 

# AOD detector vertical offset:  0.319718
# AOD detector horizontal offset: -0.119481
# AOD vertical trap stiffness (pN/nm): 0.094220
# AOD horizontal trap stiffness (pN/nm): 0.099484
# AOD vertical OLS (V/nm): 0.000656
# AOD horizontal OLS (V/nm): 0.000622
# PM detector vertical offset:  0.004591
# PM detector horizontal offset: -0.072973
# PM vertical trap stiffness (pN/nm): 0.107263
# PM horizontal trap stiffness (pN/nm): 0.133464
# PM vertical OLS (V/nm): 0.000589
# PM horizontal OLS (V/nm): 0.000708
# PM bead diameter (um): 2.000000
# AOD bead diameter (um): 2.160000
# Viscosity (pN s / nm^2): 1.219800E-9

# sample rate (Hz): 10000
# number of samples: 10
# rate of while-loop(Hz):  1000
# dt (s): 0.00100
# data averaged to while-loop: FALSE


                                                                                                                                                                                      
                                                                                                                                               
PMxdiff (V)	  PMydiff (V)	  PMxsum (V)	 AODxdiff (V)	 AODydiff (V)	  AODxsum (V)	  FBxsum (V)	 xdist (nm) 	 ydist (nm)  	  FBx (V) 	 FBy (V)	 PMsensorx (V)	 PMsensory (V)	 TrackingReferenceTime

-0.075603	0.001076	2.465081	-0.116132	0.322395	2.552277	0.606231	-21.631550	-3181.130937	-0.038562	-0.134334	4.766202	5.936491	11570723.000000
-0.073022	0.002778	2.464377	-0.118529	0.324857	2.556721	0.606319	-21.631550	-3181.130937	-0.037331	-0.135652	4.766154	5.936595	11570723.000000
-0.074477	0.007470	2.464345	-0.119296	0.320613	2.555905	0.605687	-21.631550	-3181.130937	-0.040360	-0.134502	4.766194	5.936539	11570723.000000
-0.072471	0.004481	2.462771	-0.120559	0.324457	2.565288	0.605503	-21.631550	-3181.130937	-0.038386	-0.136563	4.766418	5.936579	11570723.000000
-0.073941	0.006622	2.464577	-0.116515	0.322851	2.564009	0.606055	-21.631550	-3181.130937	-0.038522	-0.135405	4.766545	5.936715	11570723.000000
-0.074884	0.003570	2.464257	-0.119448	0.327278	2.559158	0.605775	-21.631550	-3181.130937	-0.036724	-0.134661	4.766497	5.936683	11570723.000000
-0.072087	0.001196	2.463562	-0.118441	0.325696	2.562914	0.606582	-21.631550	-3181.130937	-0.036964	-0.135101	4.766545	5.936707	11570723.000000
-0.069162	0.004193	2.462875	-0.122932	0.325448	2.558910	0.606966	-21.631550	-3181.130937	-0.037611	-0.133271	4.766657	5.936707	11570723.000000
-0.073366	0.006503	2.463818	-0.123084	0.322979	2.557640	0.606279	-21.631550	-3181.130937	-0.039218	-0.134885	4.766569	5.936611	11570723.000000
-0.077793	0.007669	2.464985	-0.119696	0.324721	2.557224	0.606007	-21.631550	-3181.130937	-0.039897	-0.134286	4.766561	5.936699	11570723.000000
-0.073310	0.004912	2.464225	-0.120990	0.321524	2.551582	0.606646	-21.631550	-3181.130937	-0.039241	-0.134062	4.766489	5.936427	11570723.000000
-0.080191	-0.000418	2.461828	-0.119896	0.306892	2.563809	0.606894	-21.631550	-3713.574006	-0.038083	-0.135429	4.766194	4.940454	11619529.000000
-0.075683	-0.006843	2.460877	-0.122980	0.310999	2.564177	0.605863	-21.631550	-3713.574006	-0.038123	-0.133143	4.766226	4.940414	11619529.000000
-0.073046	-0.006132	2.460621	-0.126649	0.305365	2.557759	0.606375	-21.631550	-3713.574006	-0.037651	-0.135349	4.766082	4.940286	11619529.000000
-0.076690	-0.001873	2.460174	-0.122005	0.304558	2.554954	0.606407	-21.631550	-3713.574006	-0.037955	-0.134917	4.766034	4.940454	11619529.000000
-0.073318	-0.003415	2.461412	-0.124571	0.312174	2.558686	0.606510	-21.631550	-3713.574006	-0.040049	-0.133047	4.766226	4.940470	11619529.000000
-0.075723	-0.006244	2.460086	-0.124555	0.312398	2.557320	0.606614	-21.631550	-3713.574006	-0.040224	-0.132096	4.766170	4.940190	11619529.000000
-0.076514	-0.003607	2.458511	-0.123428	0.304079	2.554755	0.606790	-21.631550	-3713.574006	-0.038330	-0.133031	4.765922	4.940246	11619529.000000
-0.075547	-0.004846	2.460038	-0.124691	0.305085	2.550727	0.606654	-21.631550	-3713.574006	-0.041415	-0.133367	4.765986	4.940286	11619529.000000
-0.077689	-0.001305	2.460885	-0.122837	0.306532	2.558055	0.605999	-21.631550	-3713.574006	-0.039265	-0.132472	4.766098	4.940294	11619529.000000

# start of measurement (iteration) : 10492376
# end of measurement (iteration) : 10540165
# duration of measurement(s): 48
# errors: 0	0	0	0	0

