trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
260635872.00	-2.08	-62.55	62.59	-154.36	-3865.27	3868.35
260635968.00	-2.07	-62.51	62.54	-153.07	-3862.36	3865.39
260636192.00	-2.11	-62.29	62.33	-156.16	-3848.97	3852.13
260636368.00	-1.85	-62.59	62.62	-137.33	-3867.72	3870.16
260636480.00	-1.98	-62.76	62.79	-147.00	-3878.03	3880.81
260636576.00	-1.84	-62.68	62.71	-136.61	-3873.09	3875.50
260636672.00	-1.77	-62.55	62.57	-131.34	-3864.90	3867.13
260636896.00	-2.02	-62.34	62.37	-149.71	-3852.09	3855.00
260636976.00	-2.05	-62.19	62.23	-151.64	-3842.94	3845.93
260637072.00	-1.66	-62.42	62.45	-122.63	-3857.17	3859.12
260637280.00	-1.94	-62.43	62.46	-143.53	-3857.45	3860.12
260637472.00	-2.04	-62.42	62.45	-151.03	-3856.98	3859.94
260637568.00	-1.93	-62.34	62.37	-143.20	-3852.14	3854.80
260637776.00	-1.84	-62.34	62.37	-136.40	-3851.88	3854.29
260637872.00	-2.13	-62.18	62.21	-157.68	-3842.01	3845.24
260637872.00	-2.10	-62.47	62.50	-155.53	-3859.98	3863.11
260637984.00	-1.93	-62.50	62.53	-143.31	-3862.05	3864.70
260638080.00	-1.90	-62.24	62.26	-140.47	-3845.54	3848.10
260638208.00	-2.01	-62.46	62.49	-148.53	-3859.36	3862.22
260638288.00	-1.86	-62.28	62.31	-137.75	-3848.42	3850.89
260638368.00	-2.09	-62.70	62.74	-154.72	-3874.44	3877.53
260638480.00	-2.03	-62.41	62.45	-150.54	-3856.44	3859.38
260638576.00	-1.79	-62.29	62.31	-132.31	-3848.82	3851.09
260638688.00	-2.04	-62.49	62.52	-151.26	-3861.36	3864.32
260638768.00	-1.99	-62.23	62.27	-147.69	-3845.42	3848.25
260638880.00	-1.93	-62.29	62.32	-143.02	-3848.92	3851.58
260639168.00	-1.82	-62.58	62.61	-134.51	-3866.74	3869.08
260639280.00	-2.00	-62.49	62.52	-147.81	-3861.06	3863.89
260639472.00	-1.90	-62.42	62.45	-140.75	-3856.83	3859.40
260639472.00	-1.87	-62.62	62.65	-138.83	-3869.54	3872.03
260639568.00	-2.08	-62.41	62.44	-153.79	-3856.12	3859.18
260639664.00	-1.78	-62.59	62.61	-131.89	-3867.31	3869.56
260639776.00	-1.87	-62.81	62.84	-138.52	-3881.09	3883.57
260639872.00	-1.88	-62.75	62.78	-139.38	-3877.29	3879.79
260639968.00	-1.92	-62.14	62.17	-142.14	-3839.69	3842.32
260640064.00	-2.12	-62.28	62.31	-157.00	-3848.12	3851.32
260640176.00	-1.88	-62.31	62.34	-139.53	-3850.28	3852.80
260640176.00	-2.01	-62.65	62.68	-148.78	-3871.10	3873.96
260640288.00	-1.82	-62.48	62.51	-134.55	-3860.72	3863.06
260640368.00	-1.99	-62.73	62.77	-147.65	-3876.35	3879.16
260640480.00	-1.85	-62.61	62.63	-137.40	-3868.46	3870.89
260640576.00	-2.06	-62.35	62.38	-152.75	-3852.33	3855.36
260640672.00	-1.93	-62.64	62.67	-143.18	-3870.75	3873.40
260640768.00	-2.13	-62.54	62.58	-158.07	-3864.35	3867.58
260640880.00	-2.12	-62.57	62.61	-156.72	-3866.21	3869.39
260640976.00	-1.91	-62.56	62.58	-141.55	-3865.32	3867.91
260641072.00	-1.80	-62.48	62.51	-133.57	-3860.76	3863.07
260641168.00	-2.16	-62.58	62.62	-159.74	-3867.09	3870.39
260641280.00	-1.82	-62.48	62.51	-134.82	-3860.60	3862.96
260641376.00	-1.89	-62.59	62.61	-139.89	-3867.13	3869.66
260641472.00	-1.87	-62.58	62.61	-138.34	-3867.05	3869.52
260641472.00	-1.92	-62.53	62.56	-142.44	-3864.04	3866.66
260641568.00	-2.07	-62.62	62.66	-153.64	-3869.47	3872.51
260641664.00	-2.06	-62.80	62.83	-152.39	-3880.46	3883.46
260641792.00	-2.06	-62.54	62.57	-152.84	-3864.32	3867.34
260641872.00	-1.97	-62.43	62.46	-146.27	-3857.55	3860.32
260641968.00	-2.07	-62.56	62.59	-153.41	-3865.32	3868.36
260642080.00	-1.79	-62.56	62.58	-132.46	-3865.44	3867.71
260642176.00	-1.91	-62.39	62.42	-141.23	-3855.38	3857.97
260642272.00	-1.89	-62.48	62.51	-140.01	-3860.78	3863.32
260642368.00	-1.73	-62.43	62.45	-128.15	-3857.41	3859.53
260642368.00	-1.89	-62.58	62.61	-139.87	-3866.74	3869.27
260642480.00	-1.96	-62.58	62.61	-145.34	-3866.67	3869.40
260642592.00	-1.92	-62.33	62.36	-142.02	-3851.68	3854.29
260642672.00	-1.99	-62.52	62.55	-147.30	-3863.28	3866.09
260642880.00	-1.94	-62.55	62.58	-143.41	-3864.93	3867.59
260642880.00	-2.03	-62.61	62.64	-150.10	-3868.38	3871.29
260642976.00	-2.04	-62.63	62.67	-151.43	-3870.09	3873.05
260643072.00	-1.85	-62.55	62.58	-136.88	-3865.05	3867.47
260643168.00	-2.04	-62.40	62.43	-151.45	-3855.67	3858.64
260643376.00	-1.90	-62.40	62.43	-141.01	-3855.96	3858.53
260643488.00	-1.94	-62.53	62.56	-143.71	-3863.63	3866.30
260643488.00	-2.37	-62.44	62.49	-175.60	-3858.25	3862.25
260643568.00	-2.03	-62.48	62.52	-150.57	-3860.85	3863.79
260643664.00	-1.89	-62.25	62.28	-140.14	-3846.52	3849.07
260643776.00	-1.88	-62.49	62.52	-138.90	-3861.23	3863.73
260643872.00	-2.16	-62.51	62.54	-159.98	-3862.20	3865.51
260643872.00	-2.14	-62.47	62.51	-158.62	-3860.33	3863.58
260644080.00	-1.95	-62.43	62.46	-144.12	-3857.75	3860.44
260644080.00	-2.07	-62.60	62.64	-153.12	-3868.32	3871.35
260644176.00	-1.94	-62.56	62.59	-143.77	-3865.86	3868.53
260644272.00	-2.02	-62.74	62.77	-149.71	-3876.53	3879.42
260644480.00	-2.03	-62.60	62.63	-150.60	-3867.97	3870.90
260644480.00	-1.75	-62.57	62.59	-129.71	-3865.90	3868.08
260644576.00	-2.15	-62.68	62.72	-159.38	-3873.20	3876.48
260644672.00	-1.82	-62.61	62.63	-134.80	-3868.57	3870.92
260644768.00	-2.04	-62.32	62.35	-151.36	-3850.68	3853.65
260644864.00	-1.95	-62.37	62.40	-144.68	-3853.54	3856.26
260644976.00	-2.09	-62.56	62.60	-154.75	-3865.78	3868.87
260645072.00	-1.92	-62.69	62.72	-141.85	-3873.47	3876.06
260645168.00	-1.99	-62.35	62.39	-147.56	-3852.84	3855.66
260645280.00	-1.92	-62.33	62.36	-142.44	-3851.64	3854.28
260645376.00	-1.93	-62.72	62.75	-143.08	-3875.37	3878.01
260645376.00	-1.95	-62.55	62.58	-144.16	-3864.79	3867.47
260645488.00	-1.82	-62.65	62.67	-135.04	-3870.98	3873.33
260645568.00	-2.13	-62.48	62.52	-158.05	-3860.62	3863.86
260645680.00	-1.72	-62.41	62.44	-127.50	-3856.48	3858.59
260645776.00	-2.10	-62.45	62.48	-155.23	-3858.54	3861.66
260645872.00	-1.75	-62.63	62.65	-129.62	-3869.74	3871.91
260645968.00	-1.89	-62.53	62.56	-139.84	-3864.02	3866.55
260646176.00	-2.06	-62.68	62.72	-152.67	-3873.22	3876.22
260646272.00	-2.19	-62.48	62.52	-161.96	-3860.48	3863.88
260646272.00	-2.04	-62.50	62.54	-150.79	-3862.04	3864.98
260646464.00	-1.92	-62.62	62.65	-141.89	-3869.31	3871.91
260646464.00	-1.88	-62.63	62.66	-139.59	-3870.19	3872.71
260646672.00	-1.93	-62.36	62.39	-142.98	-3853.53	3856.18
260646768.00	-1.86	-62.69	62.72	-138.02	-3873.70	3876.16
260646880.00	-1.99	-62.51	62.54	-147.76	-3862.58	3865.40
260646880.00	-1.90	-62.44	62.47	-141.00	-3858.16	3860.73
260646976.00	-1.98	-61.32	61.35	-146.93	-3788.67	3791.52
260647168.00	-1.80	-60.67	60.69	-133.36	-3748.66	3751.03
260647264.00	-2.05	-60.96	61.00	-151.98	-3766.95	3770.01
260647264.00	-1.80	-61.03	61.05	-133.04	-3770.79	3773.13
260647472.00	-1.68	-61.15	61.17	-124.31	-3778.51	3780.55
260647472.00	-1.83	-60.80	60.82	-135.35	-3756.57	3759.01
