# Date of Experiment: 5/19/2013	2:02 AM

# yOffsetT2.V:  0.397106
# xOffsetT2.V: -0.180276
# yCornerFreqT2.Hz 921.501983
# xCornerFreqT2.Hz: 882.275945
# yStiffnessT2.pNperNm: 0.109138
# xStiffnessT2.pNperNm: 0.104493
# yDistConversionT2.VperNm: 0.001104
# xDistConversionT2.VperNm: 0.001002

# yOffsetT1.V:  0.030498
# xOffsetT1.V: -0.122023
# yCornerFreqT1.Hz 895.110965
# xCornerFreqT1.Hz: 1178.023242
# yStiffnessT1.pNperNm: 0.114494
# xStiffnessT1.pNperNm: 0.150681
# yDistConversionT1.VperNm: 0.000712
# xDistConversionT1.VperNm: 0.000835

# diameterT1.um: 2.160000
# diameterT2.um: 2.000000

# zOffsetT1.V: -3.144660
# zOffsetT2.V: -3.218840

# sampleRate.Hz: 80000.000000
# nSamples: 1048576.000000
# nBlocks: 128.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 

0.000000E+0	1.760219E-9	2.732783E-9	3.969991E-9	4.709184E-9	9.080066E-9	1.189593E-8	2.663833E-8	3.059908E-8	9.572493E-10	6.650733E-9
1.220703E+1	8.386323E-9	1.324211E-8	2.066918E-8	2.364942E-8	9.079091E-9	1.189372E-8	2.663323E-8	3.059371E-8	6.241262E-9	3.015542E-8
2.441406E+1	9.536251E-9	1.479060E-8	2.548205E-8	2.988124E-8	9.076167E-9	1.188709E-8	2.661795E-8	3.057762E-8	6.292394E-9	4.998439E-8
3.662109E+1	8.564817E-9	1.554807E-8	2.558296E-8	2.595651E-8	9.071299E-9	1.187605E-8	2.659251E-8	3.055083E-8	5.449148E-9	4.849829E-8
4.882812E+1	1.117016E-8	1.702772E-8	2.767106E-8	2.817609E-8	9.064493E-9	1.186064E-8	2.655699E-8	3.051341E-8	6.643386E-9	3.400633E-8
6.103516E+1	1.394378E-8	2.649893E-8	4.209432E-8	3.380791E-8	9.055756E-9	1.184088E-8	2.651145E-8	3.046543E-8	1.089273E-8	3.810468E-8
7.324219E+1	1.067543E-8	1.719712E-8	2.727188E-8	2.535414E-8	9.045101E-9	1.181682E-8	2.645601E-8	3.040699E-8	7.267389E-9	3.758721E-8
8.544922E+1	9.869271E-9	1.429105E-8	2.318186E-8	2.510212E-8	9.032541E-9	1.178850E-8	2.639078E-8	3.033822E-8	4.941689E-9	6.015436E-8
9.765625E+1	9.896432E-9	1.524998E-8	2.185301E-8	2.795333E-8	9.018092E-9	1.175600E-8	2.631592E-8	3.025925E-8	6.116324E-9	1.467850E-7
1.098633E+2	9.002508E-9	1.466403E-8	2.402591E-8	2.715753E-8	9.001772E-9	1.171939E-8	2.623158E-8	3.017024E-8	6.250361E-9	2.028029E-7
1.220703E+2	1.013516E-8	1.551464E-8	2.325604E-8	2.857884E-8	8.983602E-9	1.167873E-8	2.613797E-8	3.007139E-8	5.483802E-9	1.268800E-7
1.342773E+2	1.086421E-8	1.533728E-8	2.089000E-8	2.845993E-8	8.963605E-9	1.163412E-8	2.603527E-8	2.996287E-8	5.674404E-9	8.875986E-8
1.464844E+2	9.687509E-9	1.480259E-8	2.468389E-8	2.691693E-8	8.941805E-9	1.158566E-8	2.592371E-8	2.984492E-8	6.385661E-9	7.105282E-8
1.586914E+2	1.049533E-8	1.188523E-8	2.092771E-8	2.499565E-8	8.918229E-9	1.153343E-8	2.580354E-8	2.971777E-8	6.303843E-9	8.247676E-8
1.708984E+2	1.010429E-8	1.296090E-8	2.101726E-8	2.572627E-8	8.892906E-9	1.147755E-8	2.567499E-8	2.958165E-8	4.470309E-9	4.531779E-8
1.831055E+2	1.018899E-8	1.198936E-8	2.116287E-8	3.037332E-8	8.865867E-9	1.141813E-8	2.553834E-8	2.943682E-8	4.493301E-9	7.419350E-8
1.953125E+2	1.053608E-8	1.167114E-8	2.479531E-8	3.131412E-8	8.837145E-9	1.135530E-8	2.539387E-8	2.928358E-8	4.872234E-9	1.377836E-7
2.075195E+2	1.139006E-8	1.174423E-8	2.534009E-8	3.312448E-8	8.806774E-9	1.128916E-8	2.524186E-8	2.912218E-8	5.023712E-9	1.503447E-7
2.197266E+2	1.107573E-8	1.301599E-8	2.342041E-8	3.256098E-8	8.774789E-9	1.121985E-8	2.508262E-8	2.895294E-8	4.611401E-9	1.749827E-7
2.319336E+2	8.893076E-9	1.465623E-8	2.407055E-8	2.512071E-8	8.741228E-9	1.114750E-8	2.491644E-8	2.877616E-8	5.091476E-9	8.424674E-8
2.441406E+2	9.284297E-9	1.454555E-8	2.178515E-8	2.597019E-8	8.706130E-9	1.107225E-8	2.474365E-8	2.859214E-8	4.375521E-9	7.605472E-8
2.563477E+2	9.477169E-9	1.306361E-8	2.103682E-8	2.761206E-8	8.669534E-9	1.099422E-8	2.456457E-8	2.840120E-8	3.779636E-9	5.709195E-8
