trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
257162416.00	1.17	54.94	54.96	86.79	3394.91	3396.02
257162512.00	-1.50	-54.19	54.21	-111.03	-3348.51	3350.35
257162608.00	-1.30	-54.53	54.55	-96.09	-3369.71	3371.08
257162720.00	1.13	54.75	54.76	83.96	3382.81	3383.86
257162816.00	1.44	54.92	54.94	106.77	3393.32	3395.00
257162912.00	1.31	54.64	54.66	96.68	3376.46	3377.84
257163008.00	-1.35	-54.53	54.55	-100.04	-3369.49	3370.98
257163104.00	-1.31	-55.02	55.04	-97.37	-3399.67	3401.06
257163216.00	-1.16	-54.66	54.67	-86.02	-3377.45	3378.55
257163312.00	-1.23	-54.55	54.56	-91.45	-3370.55	3371.79
257163312.00	1.34	55.00	55.02	99.55	3398.56	3400.02
257163408.00	-1.45	-54.58	54.60	-107.47	-3372.26	3373.97
257163504.00	-1.35	-54.75	54.77	-99.90	-3383.02	3384.49
257163616.00	-1.39	-54.61	54.63	-103.11	-3374.55	3376.12
257163712.00	-1.33	-54.57	54.58	-98.74	-3371.60	3373.05
257163808.00	1.47	54.95	54.97	109.22	3395.42	3397.18
257163904.00	1.47	54.72	54.74	108.75	3381.38	3383.13
257164016.00	-1.32	-54.61	54.63	-97.78	-3374.51	3375.93
257164112.00	-1.54	-54.35	54.38	-113.81	-3358.59	3360.52
257164208.00	1.47	54.81	54.83	109.07	3386.99	3388.75
257164304.00	1.01	54.63	54.64	74.90	3375.45	3376.28
257164416.00	-1.23	-54.46	54.47	-91.14	-3365.15	3366.38
257164512.00	-1.34	-54.52	54.54	-99.27	-3368.96	3370.42
257164608.00	-1.35	-54.75	54.77	-100.21	-3383.25	3384.74
257164704.00	-1.41	-54.64	54.65	-104.17	-3375.97	3377.58
257164816.00	-1.37	-54.55	54.57	-101.56	-3370.71	3372.24
257164912.00	1.34	54.61	54.63	99.19	3374.40	3375.86
257165008.00	-1.27	-54.38	54.40	-94.01	-3360.40	3361.72
257165104.00	-1.19	-54.36	54.37	-88.38	-3358.86	3360.02
257165216.00	-1.25	-54.39	54.40	-92.76	-3360.71	3361.99
257165312.00	-1.23	-54.51	54.52	-91.08	-3368.06	3369.29
257165408.00	1.60	54.77	54.79	118.82	3384.11	3386.20
257165504.00	1.37	54.87	54.88	101.80	3390.24	3391.77
257165504.00	-1.24	-54.54	54.55	-92.09	-3369.84	3371.10
257165616.00	-1.64	-54.49	54.52	-121.35	-3367.21	3369.39
257165712.00	-1.43	-54.59	54.60	-105.87	-3372.83	3374.49
257165808.00	-1.33	-54.18	54.20	-98.22	-3347.88	3349.32
257165904.00	1.29	53.27	53.29	95.28	3291.67	3293.04
257166016.00	-1.27	-53.21	53.23	-94.32	-3287.89	3289.24
257166112.00	1.23	53.11	53.13	90.77	3281.92	3283.18
257166208.00	1.22	53.04	53.05	90.52	3277.05	3278.30
257166304.00	1.34	53.14	53.16	99.13	3283.69	3285.18
257166416.00	1.23	53.07	53.08	90.79	3278.94	3280.20
257166512.00	1.32	53.13	53.14	97.93	3282.75	3284.21
257166512.00	1.26	53.27	53.29	93.08	3291.85	3293.16
257166608.00	-1.35	-52.84	52.86	-99.82	-3265.03	3266.55
257166704.00	1.25	53.07	53.08	92.66	3278.94	3280.25
257166816.00	-1.29	-52.83	52.84	-95.53	-3264.19	3265.59
257166816.00	1.03	53.00	53.01	76.26	3274.60	3275.49
257166912.00	1.22	53.40	53.41	90.37	3299.54	3300.78
257167024.00	-1.41	-53.15	53.16	-104.81	-3283.86	3285.53
257167104.00	1.32	53.37	53.38	97.52	3297.50	3298.94
257167216.00	-1.31	-53.10	53.11	-96.77	-3280.92	3282.35
257167312.00	-1.22	-53.27	53.28	-90.06	-3291.49	3292.72
257167408.00	-1.25	-53.35	53.36	-92.68	-3296.32	3297.62
257167408.00	1.24	53.13	53.14	92.02	3282.82	3284.11
257167520.00	-1.07	-53.26	53.27	-79.44	-3291.11	3292.07
257167616.00	1.16	53.07	53.09	85.99	3279.44	3280.57
257167728.00	1.13	53.16	53.17	83.44	3284.50	3285.56
257167808.00	1.15	53.19	53.21	85.38	3286.80	3287.91
257167904.00	1.12	53.25	53.26	82.97	3290.06	3291.11
257168112.00	1.32	53.50	53.52	97.51	3306.07	3307.51
257168208.00	1.29	52.76	52.78	95.63	3260.20	3261.61
257168304.00	-1.41	-52.82	52.84	-104.63	-3263.62	3265.30
257168416.00	-1.20	-53.53	53.54	-89.09	-3307.33	3308.53
257168512.00	1.36	53.08	53.09	100.72	3279.56	3281.10
257168512.00	1.16	52.98	53.00	85.63	3273.81	3274.93
257168608.00	1.20	53.22	53.24	88.58	3288.68	3289.87
257168704.00	1.10	53.28	53.29	81.45	3292.17	3293.17
257168816.00	1.14	53.15	53.16	84.26	3284.06	3285.14
257168912.00	1.21	53.28	53.29	89.81	3292.04	3293.26
257169024.00	1.12	53.03	53.04	83.11	3276.61	3277.67
257169104.00	1.18	53.48	53.49	87.51	3304.44	3305.60
257169216.00	1.21	53.18	53.19	89.65	3286.03	3287.25
257169312.00	-1.27	-53.27	53.29	-93.84	-3291.86	3293.19
257169408.00	1.21	53.33	53.34	89.87	3295.11	3296.33
257169504.00	1.26	53.19	53.20	93.56	3286.41	3287.74
257169616.00	1.19	53.21	53.23	88.47	3288.07	3289.26
257169712.00	1.05	53.21	53.22	78.08	3287.98	3288.91
257169808.00	1.29	53.47	53.49	95.40	3304.20	3305.58
257169904.00	1.25	53.43	53.44	92.64	3301.25	3302.55
257170016.00	1.26	53.55	53.56	93.01	3308.73	3310.04
257170112.00	-1.25	-53.59	53.61	-92.45	-3311.53	3312.82
257170208.00	1.23	53.41	53.43	91.33	3300.33	3301.59
257170208.00	1.47	53.27	53.29	109.17	3291.48	3293.29
257170416.00	1.28	53.43	53.45	95.16	3301.46	3302.83
257170416.00	1.19	53.11	53.13	87.83	3281.86	3283.03
257170512.00	1.25	53.31	53.32	92.39	3293.82	3295.11
257170608.00	-1.23	-52.77	52.79	-90.94	-3260.88	3262.14
257170704.00	1.53	53.00	53.02	113.63	3274.91	3276.88
257170816.00	1.15	53.13	53.14	85.34	3282.76	3283.86
257170912.00	1.20	51.53	51.54	89.19	3184.01	3185.26
257171104.00	-1.28	-51.73	51.75	-94.51	-3196.66	3198.06
257171104.00	1.11	51.69	51.70	81.93	3194.07	3195.12
257171216.00	-1.31	-51.49	51.50	-96.81	-3181.44	3182.91
257171216.00	-1.38	-51.28	51.30	-102.42	-3168.59	3170.24
257171312.00	-1.05	-51.66	51.67	-77.57	-3191.78	3192.72
257171408.00	1.16	51.58	51.59	85.81	3187.16	3188.32
257171504.00	0.92	51.51	51.51	68.47	3182.59	3183.33
257171616.00	-1.15	-51.75	51.76	-84.83	-3197.63	3198.75
257171712.00	-1.20	-51.65	51.67	-88.73	-3191.58	3192.81
257171808.00	-1.28	-51.41	51.43	-94.72	-3176.89	3178.30
257171904.00	1.36	51.54	51.56	100.87	3184.50	3186.10
257172016.00	-1.19	-51.49	51.50	-88.16	-3181.31	3182.53
257172112.00	-1.21	-51.67	51.69	-89.70	-3192.87	3194.13
257172208.00	-1.15	-51.74	51.75	-84.83	-3196.86	3197.98
257172304.00	-1.15	-51.57	51.58	-84.88	-3186.35	3187.48
257172416.00	1.19	51.60	51.61	88.13	3188.12	3189.34
257172512.00	1.05	51.66	51.67	77.68	3192.16	3193.10
257172608.00	1.16	51.66	51.68	86.03	3192.21	3193.37
257172704.00	-1.08	-51.80	51.81	-79.71	-3200.44	3201.43
257172704.00	-1.19	-51.74	51.75	-88.50	-3196.75	3197.97
