 # Date of Experiment: 18/01/02014
 # Time of Experiment: 11:01:27
 # Laser Diode Temp (C): 0.00000
 # Laser Diode Operating Hours (h): 0.00000
 # Laser Diode Current (A): 0.00000
 # AOD ANDOR center x (pixels): 240.500
 # AOD ANDOR center y (pixels): 253.778
 # AOD ANDOR range x (pixels): 27.5000
 # AOD ANDOR range y (pixels): 27.2200
 # AOD CCD center x (pixels): 278.500
 # AOD CCD center y (pixels): 370.750
 # AOD CCD range x (pixels): 163.000
 # AOD CCD range y (pixels): 135.000
 # PM ANDOR center x (pixels): 245.889
 # PM ANDOR center y (pixels): 262.250
 # PM ANDOR range x (pixels): 15.2700
 # PM ANDOR range y (pixels): 10.5000
 # PM CCD center x (pixels): 308.250
 # PM CCD center y (pixels): 412.000
 # PM CCD range x (pixels): 92.3333
 # PM CCD range y (pixels): 52.0000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 47.3100
 # CCD pixel size y (nm): 57.1700
 # AOD detector x offset (V): -0.0322060
 # AOD detector y offset (V): -0.0846000
 # AOD trap stiffness x (pN/nm): 0.123303
 # AOD trap stiffness y (pN/nm): 0.126880
 # AOD trap distance conversion x (V/Nm): 0.000695000
 # AOD trap distance conversion y (V/Nm): 0.000802000
 # PM detector x offset (V): -0.0410150
 # PM detector y offset (V): -0.278679
 # PM trap stiffness x (pN/nm): 0.124807
 # PM trap stiffness y (pN/nm): 0.109598
 # PM trap distance conversion x (V/nm): 0.000682000
 # PM trap distance conversion y (V/nm): 0.000604000
 # AOD bead radius (um): 1.05000
 # PM bead radius  (um): 1.05000
 # Sample rate (Hz): 1000
 # Number of samples (int): 10
 # Delta time (s): 0.0100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force X felt by AOD (pN)	Force X felt by PM  (pN)	Force Y felt by AOD (pN)	Force Y felt by PM  (pN)	Norm of force felt by AOD (pN)	Norm of force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)
27057470.000000	27617.018000	10863.788545	0.000000	2944.959529	3011.094047	0.184334	-0.263339	-0.144124	-0.024678	0.233989	0.264493	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758030	4.972222	-0.042454	-0.278815	2.794269	-0.031167	-0.085511	3.467050	-4.713170	0.583300	-0.009420	-0.092201	-0.239603	-0.866336	-0.053708
27057480.000000	27617.028000	10863.798648	0.000000	2944.315283	3011.094047	-0.316330	0.040992	-0.132734	-0.085646	0.343049	0.094951	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758006	4.972254	-0.040791	-0.279151	2.793038	-0.033989	-0.085439	3.459680	-4.713170	0.583300	-0.009420	-0.093871	-0.241185	-0.866704	-0.053884
27057490.000000	27617.038000	10863.808648	0.000000	2939.443594	3011.094047	0.062450	-0.005856	0.072141	-0.442384	0.095417	0.442423	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757854	4.972254	-0.041047	-0.281117	2.793814	-0.031854	-0.084144	3.461399	-4.713170	0.583300	-0.009420	-0.092968	-0.239123	-0.865729	-0.055602
27057500.000000	27617.048000	10863.818520	0.000000	2942.742984	3011.094047	0.589903	-0.283835	0.338874	0.149336	0.680309	0.320724	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758110	4.972206	-0.042566	-0.277856	2.795012	-0.028881	-0.082458	3.462806	-4.713170	0.583300	-0.009420	-0.093679	-0.240889	-0.865673	-0.053620
27057510.000000	27617.058000	10863.828673	0.000000	2940.617834	2991.613558	0.242525	-0.055632	0.158204	-0.239337	0.289564	0.245718	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757974	4.972510	-0.041319	-0.279998	2.795716	-0.030839	-0.083600	3.461391	-4.713170	0.583300	-0.009420	-0.092624	-0.239395	-0.866080	-0.053532
27057520.000000	27617.068000	10863.838568	0.000000	2944.120174	2991.613558	-0.198527	-0.323364	-0.192060	-0.158046	0.276225	0.359920	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757958	4.972270	-0.042782	-0.279550	2.795444	-0.033325	-0.085814	3.461271	-4.713170	0.583300	-0.009420	-0.093448	-0.240721	-0.866024	-0.055434
27057530.000000	27617.078000	10863.848684	0.000000	2943.335131	2991.613558	0.231171	0.065698	-0.045405	-0.117401	0.235588	0.134533	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757910	4.972118	-0.040656	-0.279326	2.794125	-0.030903	-0.084887	3.461942	-4.713170	0.583300	-0.009420	-0.091697	-0.239299	-0.866280	-0.054219
27057540.000000	27617.088000	10863.858678	0.000000	2944.355169	2991.613558	-0.188591	0.220883	-0.404529	-0.316092	0.446330	0.385621	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758230	4.972262	-0.039808	-0.280421	2.791552	-0.033269	-0.087157	3.461103	-4.713170	0.583300	-0.009420	-0.093727	-0.240410	-0.865936	-0.053580
27057550.000000	27617.098000	10863.868757	0.000000	2941.988070	3008.362186	0.028386	-0.390525	0.462906	0.174014	0.463776	0.427540	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757998	4.972350	-0.043149	-0.277720	2.797546	-0.032046	-0.081674	3.461279	-4.713170	0.583300	-0.009420	-0.092704	-0.239451	-0.866104	-0.054235
27057560.000000	27617.108000	10863.878820	0.000000	2941.876244	3008.362186	0.187172	0.318789	0.265625	-0.008710	0.324947	0.318908	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758102	4.972366	-0.039273	-0.278727	2.793678	-0.031151	-0.082921	3.464396	-4.713170	0.583300	-0.009420	-0.093751	-0.240761	-0.866240	-0.054139
