 # Date of Experiment: 20/03/02013
 # Time of Experiment: 10:03:29
 # Laser Diode Temp (C): 23.6300
 # Laser Diode Operating Hours (h): 19306.1
 # Laser Diode Current (A): 13.0000
 # AOD ANDOR center x (pixels): 268.708
 # AOD ANDOR center y (pixels): 265.323
 # AOD ANDOR range x (pixels): 24.8333
 # AOD ANDOR range y (pixels): 24.7083
 # AOD CCD center x (pixels): 298.188
 # AOD CCD center y (pixels): 291.125
 # AOD CCD range x (pixels): 93.7500
 # AOD CCD range y (pixels): 110.750
 # PM ANDOR center x (pixels): 272.906
 # PM ANDOR center y (pixels): 271.688
 # PM ANDOR range x (pixels): 14.3750
 # PM ANDOR range y (pixels): 9.25000
 # PM CCD center x (pixels): 310.500
 # PM CCD center y (pixels): 324.500
 # PM CCD range x (pixels): 53.0000
 # PM CCD range y (pixels): 42.5000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 74.1000
 # CCD pixel size y (nm): 61.6000
 # AOD detector x offset (V): -0.165608
 # AOD detector y offset (V): 0.725181
 # AOD trap stiffness x (pN/nm): 0.166681
 # AOD trap stiffness y (pN/nm): 0.163667
 # AOD trap distance conversion x (V/Nm): 0.00102400
 # AOD trap distance conversion y (V/Nm): 0.00108100
 # PM detector x offset (V): -0.0493670
 # PM detector y offset (V): 0.0642740
 # PM trap stiffness x (pN/nm): 0.194668
 # PM trap stiffness y (pN/nm): 0.158991
 # PM trap distance conversion x (V/nm): 0.000937000
 # PM trap distance conversion y (V/nm): 0.000821000
 # AOD bead radius (um): 1.01500
 # PM bead radius  (um): 1.08000
 # Sample rate (Hz): 1000
 # Number of samples (int): 1
 # Delta time (s): 0.00100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force felt by AOD (pN)	Force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)	
34295850.000000	59591.754000	28723.784912	0.000000	2150.776595	2055.498776	2.066699	1.597250	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617601	2.881247	-0.054402	0.070507	3.358696	-0.153301	0.721825	3.971015	-5.653890	-0.357670	0.076070	0.000980	-0.079176	-0.539892	-0.051605	
34295850.000000	59591.757000	28723.786916	0.000000	2164.735394	2055.498776	0.922221	0.321960	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617281	2.880928	-0.048008	0.065073	3.362612	-0.161932	0.729816	3.964862	-5.653890	-0.357670	0.076070	0.001220	-0.083571	-0.540292	-0.050965	
34295860.000000	59591.759000	28723.789643	0.000000	2149.895097	2055.498776	0.871044	1.608958	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.880848	-0.054881	0.070108	3.352782	-0.162651	0.720386	3.986439	-5.653890	-0.357670	0.076070	-0.000218	-0.079495	-0.537015	-0.050166	
34295860.000000	59591.761000	28723.791718	0.000000	2152.733397	2055.498776	1.909296	0.670409	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.880928	-0.047689	0.067231	3.356459	-0.155059	0.719667	3.986759	-5.653890	-0.357670	0.076070	0.001140	-0.081014	-0.538534	-0.048648	
34295860.000000	59591.763000	28723.792265	0.000000	2167.010578	2055.498776	0.035568	1.303106	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617281	2.880768	-0.044892	0.059559	3.360534	-0.165448	0.725021	3.986599	-5.653890	-0.357670	0.076070	-0.000858	-0.079655	-0.539653	-0.050326	
34295860.000000	59591.764000	28723.793550	0.000000	2169.608684	2055.498776	1.114068	0.579761	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.880768	-0.051924	0.063075	3.344951	-0.166647	0.732454	3.975091	-5.653890	-0.357670	0.076070	0.001939	-0.080694	-0.539333	-0.050246	
34295860.000000	59591.766000	28723.796364	0.000000	2157.846032	2055.498776	0.468113	0.907962	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617041	2.881007	-0.053123	0.066671	3.361094	-0.162811	0.724462	3.975011	-5.653890	-0.357670	0.076070	0.002579	-0.081733	-0.537415	-0.050725	
34295860.000000	59591.768000	28723.798109	0.000000	2147.790302	2055.498776	1.161829	1.605134	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617041	2.881087	-0.055201	0.069708	3.354780	-0.164569	0.717589	3.976610	-5.653890	-0.357670	0.076070	0.003378	-0.080854	-0.540132	-0.050166	
34295860.000000	59591.770000	28723.800336	0.000000	2148.316525	2055.498776	0.038600	2.450433	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.880928	-0.055281	0.075222	3.356219	-0.165688	0.725421	3.983722	-5.653890	-0.357670	0.076070	-0.003095	-0.081094	-0.541011	-0.051205	
34295860.000000	59591.772000	28723.801402	0.000000	2157.036987	2055.498776	1.803639	1.926046	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617281	2.880928	-0.040256	0.066112	3.356219	-0.154739	0.722864	3.983882	-5.653890	-0.357670	0.076070	-0.003575	-0.082053	-0.539173	-0.052404	
