trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
8223161.00000	5.23490	-0.03975	0.23721
8224461.00000	5.23490	-0.03975	0.23721
8225763.00000	5.23490	-0.03975	0.23721
8227065.00000	5.23490	-0.03975	0.23721
8228362.00000	5.23490	-0.03975	0.23721
8229662.00000	5.23490	-0.03975	0.23721
8230961.00000	5.23490	-0.03975	0.23721
8232261.00000	5.23490	-0.03975	0.23721
8233562.00000	5.23490	-0.03975	0.23721
8234863.00000	5.23490	-0.03975	0.23721
8236162.00000	5.23490	-0.03975	0.23721
8237461.00000	5.23490	-0.03975	0.23721
8238863.00000	5.23490	-0.03975	0.23721
8240162.00000	5.23490	-0.03975	0.23721
8241463.00000	5.23490	-0.03975	0.23721
8242763.00000	5.23490	-0.03975	0.23721
8244064.00000	5.23490	-0.03975	0.23721
8245363.00000	5.23490	-0.03975	0.23721
8246663.00000	5.23490	-0.03975	0.23721
8247963.00000	5.23490	-0.03975	0.23721
8249263.00000	5.23490	-0.03975	0.23721
8250562.00000	5.23490	-0.03975	0.23721
8251863.00000	5.23490	-0.03975	0.23721
8253161.00000	5.23490	-0.03975	0.23721
8254463.00000	5.23490	-0.03975	0.23721
8255762.00000	5.23490	-0.03975	0.23721
8257063.00000	5.23490	-0.03975	0.23721
8258363.00000	5.23490	-0.03975	0.23721
8259663.00000	5.23490	-0.03975	0.23721
8260963.00000	5.23490	-0.03975	0.23721
8262263.00000	5.23490	-0.03975	0.23721
8263562.00000	5.23490	-0.03975	0.23721
8264963.00000	5.23490	-0.03975	0.23721
8266262.00000	5.23490	-0.03975	0.23721
8267562.00000	5.23490	-0.03975	0.23721
8268864.00000	5.23490	-0.03975	0.23721
8270163.00000	5.23490	-0.03975	0.23721
8271462.00000	5.23490	-0.03975	0.23721
8272763.00000	5.23490	-0.03975	0.23721
8274062.00000	5.23490	-0.03975	0.23721
8275362.00000	5.23490	-0.03975	0.23721
8276663.00000	5.23490	-0.03975	0.23721
8277962.00000	5.23490	-0.03975	0.23721
8279262.00000	5.23490	-0.03975	0.23721
8280564.00000	5.23490	-0.03975	0.23721
8281863.00000	5.23490	-0.03975	0.23721
8283163.00000	5.23490	-0.03975	0.23721
8284463.00000	5.23490	-0.03975	0.23721
8285762.00000	5.23490	-0.03975	0.23721
8287064.00000	5.23490	-0.03975	0.23721
8288466.00000	5.23490	-0.03975	0.23721
8289763.00000	5.23490	-0.03975	0.23721
8291063.00000	5.23490	-0.03975	0.23721
8292363.00000	5.23490	-0.03975	0.23721
8293663.00000	5.23490	-0.03975	0.23721
8294962.00000	5.23490	-0.03975	0.23721
8296262.00000	5.23490	-0.03975	0.23721
