trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
258886256.00	-3.58	-84.36	84.44	-265.20	-5212.79	5219.54
258886368.00	-3.89	-84.06	84.15	-287.84	-5194.17	5202.14
258886464.00	-3.76	-84.22	84.30	-278.87	-5203.95	5211.42
258886560.00	-3.53	-84.31	84.38	-261.53	-5209.33	5215.89
259675888.00	-1.82	-58.80	58.83	-134.89	-3633.42	3635.92
259675984.00	-2.00	-57.41	57.44	-147.95	-3547.13	3550.21
259676080.00	-1.96	-57.45	57.48	-145.39	-3549.75	3552.73
259676176.00	-1.70	-57.52	57.54	-126.19	-3554.04	3556.28
259676288.00	-1.95	-57.09	57.13	-144.78	-3527.86	3530.83
259676288.00	-1.74	-57.19	57.21	-128.86	-3533.66	3536.00
259676384.00	-1.73	-57.42	57.45	-128.21	-3548.09	3550.40
259676480.00	-1.85	-57.36	57.39	-137.33	-3544.27	3546.93
259676576.00	-1.79	-57.01	57.04	-132.59	-3522.60	3525.09
259676688.00	-1.99	-57.33	57.37	-147.62	-3542.45	3545.53
259676688.00	-1.93	-57.56	57.59	-143.19	-3556.51	3559.39
259676784.00	-1.70	-57.21	57.24	-125.85	-3535.09	3537.32
259676880.00	-1.86	-57.33	57.36	-137.71	-3542.52	3545.19
259676976.00	-1.76	-56.13	56.16	-130.70	-3468.50	3470.96
259677088.00	-1.86	-55.88	55.91	-137.43	-3452.88	3455.62
259677184.00	-1.83	-56.03	56.06	-135.19	-3462.38	3465.02
259677280.00	-1.71	-56.01	56.03	-126.98	-3460.73	3463.06
259677376.00	-1.73	-55.92	55.95	-128.13	-3455.30	3457.68
259677488.00	-1.65	-56.03	56.06	-121.90	-3462.36	3464.51
259677488.00	-1.89	-55.94	55.97	-139.93	-3456.52	3459.35
259677584.00	-1.96	-56.15	56.18	-145.27	-3469.54	3472.57
259677680.00	-1.86	-56.22	56.25	-137.42	-3473.83	3476.54
259677792.00	-1.72	-55.85	55.87	-127.33	-3450.70	3453.05
259677888.00	-1.84	-55.79	55.82	-136.05	-3447.53	3450.21
259677888.00	-1.53	-54.42	54.44	-113.18	-3362.57	3364.47
259677984.00	-1.67	-54.31	54.33	-123.59	-3355.56	3357.83
259678080.00	-1.63	-54.25	54.27	-120.72	-3351.81	3353.99
259678176.00	-1.75	-54.52	54.55	-129.66	-3369.07	3371.56
259678384.00	-1.65	-54.64	54.66	-122.43	-3376.13	3378.35
259678480.00	-1.76	-54.71	54.74	-130.04	-3380.63	3383.13
259678480.00	-1.68	-54.57	54.59	-124.75	-3371.72	3374.03
259678576.00	-1.74	-54.32	54.35	-128.54	-3356.65	3359.11
259678688.00	-1.81	-54.51	54.54	-134.34	-3368.15	3370.82
259678784.00	-1.79	-54.36	54.39	-132.78	-3358.64	3361.26
259678880.00	-1.93	-54.55	54.59	-143.27	-3370.70	3373.75
259678880.00	-1.79	-54.42	54.45	-132.25	-3362.37	3364.97
259678976.00	-1.78	-54.44	54.47	-132.15	-3363.82	3366.41
259679088.00	-1.81	-54.49	54.52	-133.86	-3366.76	3369.42
259679184.00	-1.71	-54.40	54.43	-126.33	-3361.62	3363.99
259679280.00	-1.81	-54.60	54.63	-134.39	-3373.46	3376.13
259679280.00	-1.75	-54.65	54.67	-129.79	-3376.55	3379.04
259679376.00	-1.64	-54.24	54.26	-121.34	-3351.49	3353.68
259679488.00	-1.79	-54.75	54.78	-132.52	-3382.91	3385.51
259679584.00	-1.67	-54.59	54.62	-123.81	-3373.15	3375.43
259679680.00	-1.70	-54.59	54.61	-125.87	-3372.96	3375.31
259679792.00	-1.74	-54.16	54.18	-128.78	-3346.36	3348.84
259679888.00	-1.78	-54.45	54.48	-131.61	-3364.35	3366.92
259679888.00	-1.65	-52.89	52.91	-122.13	-3268.01	3270.29
259679984.00	-1.67	-52.81	52.84	-123.73	-3263.37	3265.72
259680080.00	-1.58	-52.89	52.91	-117.33	-3268.00	3270.10
259680176.00	-1.50	-53.02	53.04	-111.42	-3276.15	3278.05
259680288.00	-1.55	-52.62	52.64	-115.17	-3251.19	3253.23
259680288.00	-1.76	-53.07	53.10	-130.48	-3279.09	3281.68
259680384.00	-1.53	-52.79	52.81	-113.04	-3261.91	3263.86
259680480.00	-1.66	-53.18	53.21	-123.24	-3286.23	3288.54
259680576.00	-1.67	-52.88	52.90	-123.90	-3267.28	3269.63
259680688.00	-1.51	-52.96	52.98	-112.11	-3272.24	3274.16
259680688.00	-1.51	-52.98	53.00	-111.61	-3273.41	3275.32
259680784.00	-1.59	-52.98	53.00	-117.67	-3273.40	3275.52
259680880.00	-1.61	-51.38	51.40	-119.25	-3174.59	3176.83
259680976.00	-1.61	-51.61	51.64	-119.10	-3189.07	3191.30
259681088.00	-1.64	-51.32	51.35	-121.22	-3171.34	3173.66
259681184.00	-1.66	-51.38	51.40	-122.90	-3174.54	3176.92
259681280.00	-1.50	-51.42	51.45	-111.00	-3177.48	3179.42
259681280.00	-1.71	-51.20	51.23	-126.52	-3163.83	3166.36
259681376.00	-1.62	-51.41	51.43	-119.93	-3176.58	3178.84
259681488.00	-1.35	-51.44	51.46	-99.66	-3178.73	3180.29
259681584.00	-1.50	-51.60	51.62	-111.36	-3188.31	3190.25
259681680.00	-1.47	-51.47	51.49	-108.71	-3180.05	3181.91
259681680.00	-1.58	-51.41	51.44	-116.95	-3176.74	3178.90
259681776.00	-1.59	-51.36	51.38	-117.47	-3173.34	3175.51
259681888.00	-1.45	-51.11	51.13	-107.13	-3157.81	3159.63
259681984.00	-1.50	-49.99	50.01	-111.30	-3089.02	3091.03
259682080.00	-1.44	-49.99	50.01	-106.86	-3088.57	3090.42
259682176.00	-1.62	-49.97	50.00	-119.72	-3087.88	3090.20
259682176.00	-1.44	-49.44	49.46	-106.39	-3055.04	3056.89
259682288.00	-1.48	-50.21	50.24	-109.60	-3102.73	3104.67
259682384.00	-1.37	-49.78	49.79	-101.53	-3075.65	3077.32
259682480.00	-1.29	-50.12	50.13	-95.53	-3096.76	3098.24
259682480.00	-1.41	-50.16	50.18	-104.47	-3099.38	3101.14
259682576.00	-1.33	-50.00	50.01	-98.18	-3089.33	3090.89
259682688.00	-1.48	-49.86	49.89	-109.91	-3081.15	3083.11
