# Date of Experiment: 5/19/2013	2:34 AM

# yOffsetT2.V:  0.384392
# xOffsetT2.V: -0.183561
# yCornerFreqT2.Hz 651.121403
# xCornerFreqT2.Hz: 787.229555
# yStiffnessT2.pNperNm: 0.077116
# xStiffnessT2.pNperNm: 0.093236
# yDistConversionT2.VperNm: 0.000606
# xDistConversionT2.VperNm: 0.000625

# yOffsetT1.V:  0.016076
# xOffsetT1.V: -0.119340
# yCornerFreqT1.Hz 618.791988
# xCornerFreqT1.Hz: 911.026211
# yStiffnessT1.pNperNm: 0.079150
# xStiffnessT1.pNperNm: 0.116529
# yDistConversionT1.VperNm: 0.000695
# xDistConversionT1.VperNm: 0.000854

# diameterT1.um: 2.160000
# diameterT2.um: 2.000000

# zOffsetT1.V: -3.169847
# zOffsetT2.V: -3.191267

# sampleRate.Hz: 80000.000000
# nSamples: 1048576.000000
# nBlocks: 128.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 

0.000000E+0	3.959017E-9	9.789465E-9	3.189863E-9	4.296582E-9	1.661879E-8	2.367523E-8	1.135067E-8	1.718922E-8	6.919514E-9	1.084467E-8
1.220703E+1	1.632306E-8	5.795957E-8	1.303754E-8	1.943650E-8	1.661580E-8	2.366602E-8	1.134795E-8	1.718318E-8	4.460588E-8	5.722833E-8
2.441406E+1	1.846940E-8	5.549498E-8	1.530687E-8	2.139469E-8	1.660686E-8	2.363843E-8	1.133977E-8	1.716509E-8	5.131007E-8	7.812042E-8
3.662109E+1	1.983075E-8	4.704967E-8	1.562287E-8	2.229309E-8	1.659198E-8	2.359259E-8	1.132617E-8	1.713502E-8	4.477129E-8	7.057609E-8
4.882812E+1	1.815952E-8	4.258392E-8	2.080922E-8	2.472705E-8	1.657118E-8	2.352872E-8	1.130717E-8	1.709310E-8	3.845453E-8	5.289909E-8
6.103516E+1	2.218835E-8	5.084214E-8	3.719094E-8	3.452612E-8	1.654453E-8	2.344711E-8	1.128285E-8	1.703950E-8	3.784521E-8	5.120026E-8
7.324219E+1	1.896218E-8	4.365571E-8	2.223250E-8	2.674241E-8	1.651206E-8	2.334812E-8	1.125327E-8	1.697444E-8	3.820795E-8	5.860752E-8
8.544922E+1	1.536128E-8	3.318641E-8	1.438593E-8	2.241626E-8	1.647386E-8	2.323221E-8	1.121850E-8	1.689820E-8	3.489711E-8	7.972812E-8
9.765625E+1	1.609769E-8	2.931586E-8	1.296771E-8	2.309468E-8	1.643000E-8	2.309989E-8	1.117865E-8	1.681107E-8	3.098693E-8	1.631142E-7
1.098633E+2	1.802625E-8	3.017882E-8	1.325447E-8	2.470786E-8	1.638057E-8	2.295174E-8	1.113383E-8	1.671340E-8	2.548490E-8	1.876944E-7
1.220703E+2	1.911925E-8	3.027883E-8	1.643765E-8	2.266121E-8	1.632568E-8	2.278839E-8	1.108416E-8	1.660558E-8	2.261430E-8	1.089935E-7
1.342773E+2	1.941690E-8	2.787853E-8	1.401697E-8	1.911379E-8	1.626543E-8	2.261053E-8	1.102978E-8	1.648801E-8	2.136461E-8	7.920560E-8
1.464844E+2	1.630649E-8	2.405496E-8	1.365680E-8	1.949249E-8	1.619996E-8	2.241889E-8	1.097082E-8	1.636114E-8	2.363826E-8	7.264271E-8
