# Date of Experiment: 18/06/2014	23:01

# yOffsetT2.V:  -0.087350
# xOffsetT2.V: -0.079108
# yCornerFreqT2.Hz 1020.289646
# xCornerFreqT2.Hz: 991.525568
# yStiffnessT2.pNperNm: 0.126880
# xStiffnessT2.pNperNm: 0.123303
# yDistConversionT2.VperNm: 0.000802
# xDistConversionT2.VperNm: 0.000695

# yOffsetT1.V:  -0.277767
# xOffsetT1.V: -0.039478
# yCornerFreqT1.Hz 881.315495
# xCornerFreqT1.Hz: 1003.621901
# yStiffnessT1.pNperNm: 0.109598
# xStiffnessT1.pNperNm: 0.124807
# yDistConversionT1.VperNm: 0.000604
# xDistConversionT1.VperNm: 0.000682

# diameterT1.um: 2.100000
# diameterT2.um: 2.100000

# zOffsetT1.V: -2.790585
# zOffsetT2.V: -3.464340

# sampleRate.Hz: 80000.000000
# nSamples: 524288.000000
# nBlocks: 64.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 

0.000000E+0	1.620025E-9	1.675814E-9	1.416104E-9	2.272255E-9	9.011819E-9	9.301631E-9	9.313274E-9	1.236663E-8	2.301852E-9	5.183404E-9
9.765625E+0	7.612102E-9	7.563427E-9	8.341516E-9	1.195292E-8	9.010966E-9	9.300489E-9	9.312370E-9	1.236550E-8	1.323293E-8	3.052602E-8
1.953125E+1	9.760548E-9	8.630582E-9	9.887431E-9	1.385573E-8	9.008407E-9	9.297065E-9	9.309661E-9	1.236210E-8	1.656274E-8	4.515917E-8
2.929688E+1	9.228735E-9	9.767870E-9	1.247056E-8	1.543389E-8	9.004147E-9	9.291363E-9	9.305150E-9	1.235644E-8	1.586812E-8	3.364678E-8
3.906250E+1	1.078995E-8	9.257440E-9	1.446065E-8	1.630544E-8	8.998188E-9	9.283393E-9	9.298841E-9	1.234853E-8	1.633692E-8	3.084177E-8
4.882813E+1	1.612710E-8	2.065445E-8	2.564950E-8	1.961050E-8	8.990538E-9	9.273166E-9	9.290742E-9	1.233837E-8	1.617265E-8	2.311111E-8
5.859375E+1	1.301368E-8	1.688587E-8	1.758741E-8	1.699029E-8	8.981207E-9	9.260697E-9	9.280863E-9	1.232598E-8	1.218978E-8	2.165019E-8
6.835938E+1	1.034428E-8	1.119568E-8	1.216113E-8	1.539960E-8	8.970203E-9	9.246004E-9	9.269215E-9	1.231137E-8	1.085651E-8	2.987269E-8
7.812500E+1	1.012636E-8	9.960827E-9	1.089378E-8	1.521675E-8	8.957541E-9	9.229108E-9	9.255811E-9	1.229455E-8	1.094608E-8	3.561757E-8
8.789063E+1	1.074894E-8	8.654438E-9	9.654832E-9	1.440146E-8	8.943233E-9	9.210033E-9	9.240666E-9	1.227554E-8	1.402152E-8	3.128181E-8
9.765625E+1	1.017765E-8	9.226780E-9	9.673516E-9	1.512364E-8	8.927295E-9	9.188808E-9	9.223799E-9	1.225437E-8	1.424110E-8	2.278613E-8
1.074219E+2	7.684707E-9	9.628648E-9	9.104096E-9	1.807104E-8	8.909746E-9	9.165462E-9	9.205227E-9	1.223105E-8	1.402009E-8	1.972741E-8
1.171875E+2	6.856860E-9	9.008424E-9	1.061095E-8	1.369754E-8	8.890605E-9	9.140029E-9	9.184972E-9	1.220561E-8	1.552719E-8	1.764931E-7
1.269531E+2	7.661327E-9	8.649560E-9	1.074491E-8	1.078641E-8	8.869892E-9	9.112543E-9	9.163057E-9	1.217808E-8	1.386795E-8	7.743310E-7
1.367187E+2	8.766582E-9	9.326586E-9	1.006399E-8	1.158214E-8	8.847631E-9	9.083044E-9	9.139505E-9	1.214849E-8	1.105620E-8	2.627676E-7
1.464844E+2	8.491316E-9	9.370762E-9	1.006469E-8	1.110439E-8	8.823844E-9	9.051571E-9	9.114344E-9	1.211687E-8	1.469054E-8	7.770385E-8
1.562500E+2	7.418364E-9	1.142748E-8	1.123212E-8	1.110994E-8	8.798558E-9	9.018168E-9	9.087600E-9	1.208325E-8	1.334514E-8	3.946437E-8
1.660156E+2	9.802081E-9	1.104402E-8	1.067254E-8	1.305848E-8	8.771800E-9	8.982880E-9	9.059302E-9	1.204766E-8	1.133876E-8	1.750941E-8
1.757812E+2	9.756751E-9	8.637033E-9	9.850410E-9	1.241980E-8	8.743597E-9	8.945754E-9	9.029482E-9	1.201014E-8	1.200793E-8	1.792159E-8
1.855469E+2	9.798362E-9	1.004001E-8	1.070881E-8	1.151816E-8	8.713979E-9	8.906839E-9	8.998170E-9	1.197074E-8	1.226799E-8	1.747188E-8
1.953125E+2	8.846943E-9	1.083899E-8	1.081387E-8	9.207107E-9	8.682976E-9	8.866185E-9	8.965400E-9	1.192948E-8	1.209761E-8	1.710061E-8
2.050781E+2	8.777940E-9	9.660888E-9	7.985659E-9	1.126311E-8	8.650621E-9	8.823844E-9	8.931205E-9	1.188641E-8	1.246679E-8	1.556691E-8
2.148437E+2	8.480772E-9	9.099652E-9	8.088870E-9	1.126955E-8	8.616945E-9	8.779871E-9	8.895622E-9	1.184157E-8	1.145575E-8	1.477539E-8
2.246094E+2	9.016286E-9	1.018565E-8	8.447889E-9	1.067712E-8	8.581983E-9	8.734319E-9	8.858686E-9	1.179501E-8	1.012923E-8	1.362526E-8
2.343750E+2	7.840977E-9	1.137436E-8	8.973468E-9	1.136087E-8	8.545768E-9	8.687244E-9	8.820435E-9	1.174677E-8	8.912457E-9	1.277537E-8
2.441406E+2	7.857326E-9	1.019001E-8	9.356945E-9	1.068612E-8	8.508337E-9	8.638704E-9	8.780906E-9	1.169690E-8	8.063206E-9	1.276376E-8
2.539062E+2	8.725627E-9	7.226319E-9	9.096436E-9	1.054206E-8	8.469724E-9	8.588755E-9	8.740138E-9	1.164543E-8	8.205387E-9	3.128732E-8
2.636719E+2	9.517870E-9	9.333755E-9	8.969787E-9	1.245506E-8	8.429966E-9	8.537455E-9	8.698171E-9	1.159243E-8	8.886464E-9	2.371598E-8
2.734375E+2	9.697919E-9	9.191293E-9	8.779038E-9	1.484827E-8	8.389101E-9	8.484864E-9	8.655044E-9	1.153793E-8	7.203685E-9	1.541599E-8
2.832031E+2	1.010088E-8	9.704809E-9	9.275605E-9	1.384378E-8	8.347166E-9	8.431039E-9	8.610797E-9	1.148199E-8	6.905323E-9	1.321092E-8
2.929687E+2	9.951525E-9	7.912515E-9	7.445381E-9	1.371585E-8	8.304199E-9	8.376041E-9	8.565473E-9	1.142466E-8	7.687435E-9	1.271023E-8
3.027344E+2	1.148215E-8	7.891196E-9	7.815656E-9	1.333862E-8	8.260238E-9	8.319928E-9	8.519110E-9	1.136598E-8	7.492455E-9	1.098412E-8
3.125000E+2	9.214810E-9	8.213875E-9	8.188957E-9	1.101759E-8	8.215322E-9	8.262758E-9	8.471752E-9	1.130601E-8	6.608799E-9	8.341423E-9
3.222656E+2	6.663575E-9	8.917083E-9	9.316248E-9	1.062296E-8	8.169489E-9	8.204592E-9	8.423438E-9	1.124479E-8	6.860244E-9	8.555029E-9
3.320312E+2	7.750295E-9	9.395488E-9	1.008593E-8	1.154131E-8	8.122777E-9	8.145486E-9	8.374212E-9	1.118238E-8	6.008387E-9	9.882823E-9
3.417969E+2	1.037599E-8	7.456125E-9	9.268932E-9	1.086707E-8	8.075227E-9	8.085500E-9	8.324114E-9	1.111882E-8	5.099822E-9	9.779272E-9
3.515625E+2	9.819690E-9	6.511953E-9	8.366636E-9	1.038108E-8	8.026876E-9	8.024691E-9	8.273186E-9	1.105418E-8	4.171469E-9	8.497637E-9
3.613281E+2	7.816529E-9	8.860761E-9	7.707742E-9	1.158849E-8	7.977762E-9	7.963114E-9	8.221469E-9	1.098849E-8	5.426118E-9	8.452179E-9
3.710937E+2	9.249935E-9	7.325259E-9	8.706872E-9	1.178786E-8	7.927926E-9	7.900828E-9	8.169004E-9	1.092181E-8	6.146808E-9	7.538069E-9
3.808594E+2	8.524881E-9	7.819252E-9	7.512522E-9	1.176424E-8	7.877404E-9	7.837886E-9	8.115832E-9	1.085419E-8	5.822139E-9	6.983605E-9
3.906250E+2	8.682516E-9	6.928911E-9	6.938722E-9	1.034559E-8	7.826234E-9	7.774343E-9	8.061993E-9	1.078567E-8	3.769176E-9	7.432901E-9
4.003906E+2	8.275702E-9	7.459397E-9	7.799572E-9	9.611542E-9	7.774455E-9	7.710252E-9	8.007528E-9	1.071632E-8	3.853724E-9	7.026576E-9
4.101562E+2	5.771775E-9	7.433571E-9	9.776645E-9	9.745393E-9	7.722103E-9	7.645666E-9	7.952477E-9	1.064617E-8	4.240614E-9	7.057077E-9
4.199219E+2	6.424262E-9	7.901885E-9	8.777065E-9	1.239023E-8	7.669216E-9	7.580635E-9	7.896878E-9	1.057528E-8	4.165267E-9	6.377006E-9
4.296875E+2	7.891124E-9	6.797724E-9	9.299818E-9	1.083208E-8	7.615829E-9	7.515210E-9	7.840770E-9	1.050369E-8	4.579491E-9	6.813571E-9
4.394531E+2	7.574715E-9	7.258464E-9	8.675683E-9	9.392290E-9	7.561978E-9	7.449439E-9	7.784192E-9	1.043145E-8	4.121036E-9	6.803493E-9
4.492187E+2	6.779980E-9	7.953885E-9	8.518982E-9	1.043993E-8	7.507700E-9	7.383370E-9	7.727180E-9	1.035860E-8	4.237672E-9	6.124181E-9
4.589844E+2	6.621524E-9	7.141384E-9	8.016229E-9	1.127951E-8	7.453027E-9	7.317049E-9	7.669771E-9	1.028520E-8	4.290139E-9	6.033044E-9
4.687500E+2	7.537144E-9	6.771555E-9	8.657303E-9	1.066617E-8	7.397995E-9	7.250521E-9	7.612002E-9	1.021129E-8	3.156433E-9	5.246540E-9
4.785156E+2	9.069986E-9	7.009228E-9	7.482840E-9	1.068788E-8	7.342636E-9	7.183829E-9	7.553908E-9	1.013691E-8	2.936394E-9	6.620043E-9
4.882812E+2	7.859352E-9	6.300724E-9	7.717251E-9	1.143127E-8	7.286984E-9	7.117015E-9	7.495523E-9	1.006210E-8	2.990423E-9	7.116013E-9
4.980469E+2	6.668339E-9	6.168922E-9	7.871036E-9	1.091913E-8	7.231070E-9	7.050120E-9	7.436882E-9	9.986916E-9	4.003370E-9	7.030823E-9
5.078125E+2	7.104143E-9	6.467234E-9	6.747039E-9	1.035605E-8	7.174926E-9	6.983183E-9	7.378017E-9	9.911389E-9	3.569146E-9	7.445521E-9
5.175781E+2	6.535038E-9	5.648034E-9	7.261200E-9	1.078595E-8	7.118582E-9	6.916242E-9	7.318960E-9	9.835562E-9	3.038845E-9	6.599258E-9
