# Date of Experiment: 18/08/2014
# measurement starttime: 15:56  

# Laser Diode Status

# Laser Diode Operating Hours (h): 30088.300000
# Laser Diode Current (A): 13.980000

# results thermal calibration: 

# AOD detector vertical offset:  -0.086640
# AOD detector horizontal offset: -0.058736
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.288765
# PM detector horizontal offset: -0.049036
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000
# Viscosity (pN s / nm^2): 1.148727E-9

# sample rate (Hz): 10000
# number of samples: 10
# rate of while-loop(Hz):  1000
# dt (s): 0.00100
# data averaged to while-loop: FALSE


                                                                                                                              
# start of measurement (iteration) : 11143987
# end of measurement (iteration) : 11234731
# duration of measurement(s): 91
# errors: 0	0	0	0	0

                                                  
PMxdiff (V)	  PMydiff (V)	  PMxsum (V)	 AODxdiff (V)	 AODydiff (V)	  AODxsum (V)	  FBxsum (V)	 xdist (nm) 	 ydist (nm)  	  FBx (V) 	 FBy (V)	 PMsensorx (V)	 PMsensory (V)	 TrackingReferenceTime

-0.051054	-0.293873	2.599670	-0.058238	-0.085431	3.135815	0.721172	-0.000171	3000.000727	-0.066968	-0.160043	4.764184	5.934556	251936295.000000
-0.046354	-0.290796	2.598823	-0.057791	-0.087205	3.133313	0.722251	-0.000171	3000.000727	-0.066320	-0.160211	4.764400	5.934556	251936295.000000
-0.042462	-0.286312	2.597824	-0.060053	-0.087269	3.132250	0.722499	-0.000171	3000.000727	-0.066680	-0.160762	4.764232	5.934604	251936295.000000
-0.049967	-0.286832	2.597017	-0.059278	-0.096437	3.135647	0.722187	-0.000171	3000.000727	-0.065865	-0.160874	4.764296	5.934604	251936295.000000
-0.048225	-0.289701	2.596345	-0.062155	-0.090051	3.140259	0.721116	-0.000171	3000.000727	-0.066840	-0.159875	4.764504	5.934684	251936295.000000
-0.048432	-0.283035	2.596561	-0.059901	-0.089483	3.137717	0.720477	-0.000171	3000.000727	-0.067487	-0.160139	4.764432	5.934508	251936295.000000
-0.048568	-0.282691	2.598759	-0.062858	-0.091178	3.140882	0.721380	-0.000171	3000.000727	-0.069150	-0.159691	4.764504	5.934628	251936295.000000
-0.054043	-0.287847	2.598903	-0.059429	-0.089523	3.139579	0.722099	-0.000171	3000.000727	-0.067375	-0.160267	4.764288	5.934524	251936295.000000
-0.048161	-0.292602	2.597041	-0.057111	-0.091250	3.137621	0.721468	-0.000171	3000.000727	-0.069014	-0.161713	4.763992	5.934660	251936295.000000
-0.047194	-0.294648	2.597408	-0.059525	-0.090250	3.133768	0.721844	-0.000171	3000.000727	-0.069525	-0.160411	4.764384	5.934724	251936295.000000
-0.045571	-0.289493	2.597480	-0.053491	-0.090434	3.132042	0.722267	-0.000171	3000.000727	-0.069717	-0.160618	4.764280	5.934676	251936295.000000
-0.045235	-0.285896	2.598935	-0.059509	-0.087293	3.135079	0.721148	-0.000171	3000.000727	-0.071827	-0.161178	4.764424	5.934516	251936295.000000
-0.047018	-0.287879	2.599071	-0.062515	-0.088380	3.136814	0.722195	-0.000171	3000.000727	-0.069725	-0.159987	4.764280	5.934644	251936295.000000
-0.048904	-0.287966	2.596625	-0.061044	-0.088196	3.138540	0.721460	-0.000171	3000.000727	-0.069997	-0.160498	4.764008	5.934508	251936395.000000
-0.052765	-0.289853	2.601397	-0.053771	-0.088804	3.139739	0.721164	-0.000171	3000.000727	-0.070277	-0.161625	4.763960	5.934756	251936395.000000
-0.047266	-0.286312	2.599614	-0.057231	-0.082218	3.139459	0.720996	-0.000171	3000.000727	-0.070237	-0.160395	4.763912	5.934493	251936395.000000
-0.047034	-0.291124	2.596809	-0.055897	-0.087701	3.136270	0.722483	-0.000171	3000.000727	-0.069333	-0.161482	4.764144	5.934564	251936395.000000
-0.055946	-0.291315	2.598623	-0.056440	-0.083057	3.131195	0.721324	-0.000171	3000.000727	-0.068742	-0.160738	4.763920	5.934437	251936395.000000
-0.045299	-0.292418	2.597296	-0.058430	-0.088060	3.133385	0.721204	-0.000171	3000.000727	-0.068430	-0.161601	4.764072	5.934485	251936395.000000
-0.046506	-0.295288	2.595642	-0.052220	-0.087165	3.135167	0.721931	-0.000171	3000.000727	-0.068646	-0.161298	4.764000	5.934397	251936395.000000
-0.051318	-0.295080	2.598663	-0.064729	-0.081003	3.137341	0.722587	-0.000171	3000.000727	-0.069206	-0.160570	4.764568	5.934652	251936395.000000
-0.049344	-0.291635	2.598192	-0.056080	-0.089507	3.142497	0.722427	-0.000171	3000.000727	-0.068734	-0.161466	4.763833	5.934477	251936395.000000
-0.048105	-0.288422	2.597432	-0.055521	-0.083664	3.141282	0.722147	-0.000171	3000.000727	-0.065945	-0.159683	4.763920	5.934580	251936395.000000
-0.048680	-0.288470	2.599686	-0.060301	-0.085711	3.139731	0.722659	-0.000171	3000.000727	-0.066816	-0.160818	4.763849	5.934580	251936395.000000
-0.046322	-0.291259	2.598008	-0.057048	-0.082857	3.136014	0.721572	-0.000171	3000.000727	-0.067383	-0.161338	4.763912	5.934604	251936395.000000
