# Date of Experiment: 18/08/2014	15:56

# AOD detector vertical offset:  -0.089041
# AOD detector horizontal offset: -0.067967
# AOD vertical corner frequency 281.253681
# AOD horizontal corner frequency: 503.090072
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.293473
# PM detector horizontal offset: -0.045776
# PM vertical corner frequency 502.663972
# PM horizontal corner frequency: 648.164174
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000

# sample rate: 80000 Hz
# number of samples: 524288
# number of blocks: 64.000000

# viscosity (pN s / nm^2): 1.148727E-9
                                                                                                                                                                                                                       
freq 	  PSD PMx 	  PSD PMy  	 PSD AODx 	 PSD AODy 	  Fit PMx 	  Fit PMy 	 Fit AODx 	 Fit AODy 

0.000000E+0	3.636841E-9	4.041521E-9	4.415044E-9	7.053373E-9	1.992099E-8	2.027222E-8	1.853524E-8	3.338117E-8
9.765625E+0	1.475797E-8	1.790156E-8	1.850420E-8	2.802097E-8	1.991647E-8	2.026458E-8	1.852826E-8	3.334097E-8
1.953125E+1	1.677508E-8	2.027606E-8	1.479163E-8	3.607497E-8	1.990291E-8	2.024166E-8	1.850735E-8	3.322096E-8
2.929688E+1	1.750561E-8	2.103020E-8	1.414014E-8	3.650391E-8	1.988037E-8	2.020359E-8	1.847260E-8	3.302285E-8
3.906250E+1	2.274435E-8	2.149902E-8	1.770710E-8	3.623128E-8	1.984890E-8	2.015053E-8	1.842417E-8	3.274944E-8
4.882813E+1	3.118795E-8	2.516078E-8	2.258356E-8	4.184882E-8	1.980857E-8	2.008272E-8	1.836227E-8	3.240449E-8
5.859375E+1	2.521774E-8	2.513324E-8	2.339797E-8	3.208014E-8	1.975951E-8	2.000046E-8	1.828718E-8	3.199263E-8
6.835938E+1	2.050827E-8	2.555404E-8	1.811816E-8	2.440905E-8	1.970184E-8	1.990411E-8	1.819923E-8	3.151919E-8
7.812500E+1	1.680069E-8	2.548328E-8	1.965233E-8	2.345606E-8	1.963572E-8	1.979408E-8	1.809879E-8	3.099002E-8
8.789063E+1	1.754271E-8	2.259921E-8	2.109765E-8	2.714933E-8	1.956131E-8	1.967084E-8	1.798629E-8	3.041138E-8
9.765625E+1	1.879031E-8	1.940583E-8	2.120941E-8	3.391561E-8	1.947881E-8	1.953490E-8	1.786220E-8	2.978971E-8
1.074219E+2	1.794699E-8	2.245699E-8	1.980032E-8	3.774020E-8	1.938844E-8	1.938683E-8	1.772702E-8	2.913152E-8
1.171875E+2	1.822159E-8	2.475189E-8	1.431284E-8	2.952936E-8	1.929042E-8	1.922721E-8	1.758130E-8	2.844323E-8
1.269531E+2	2.056472E-8	1.999205E-8	1.478244E-8	2.741735E-8	1.918499E-8	1.905666E-8	1.742560E-8	2.773106E-8
1.367187E+2	1.823572E-8	1.638026E-8	1.670024E-8	2.699084E-8	1.907241E-8	1.887583E-8	1.726051E-8	2.700091E-8
1.464844E+2	1.662132E-8	1.793763E-8	1.600499E-8	2.214476E-8	1.895296E-8	1.868540E-8	1.708664E-8	2.625833E-8
1.562500E+2	1.443031E-8	1.939417E-8	1.603846E-8	2.385454E-8	1.882691E-8	1.848603E-8	1.690462E-8	2.550841E-8
1.660156E+2	1.695034E-8	2.389097E-8	1.879899E-8	2.469755E-8	1.869456E-8	1.827843E-8	1.671506E-8	2.475579E-8
1.757812E+2	2.161724E-8	2.343566E-8	1.676281E-8	2.378958E-8	1.855620E-8	1.806327E-8	1.651861E-8	2.400461E-8
1.855469E+2	2.186780E-8	1.799484E-8	1.562100E-8	2.579935E-8	1.841215E-8	1.784127E-8	1.631589E-8	2.325854E-8
1.953125E+2	1.877171E-8	1.425453E-8	1.849712E-8	2.203040E-8	1.826272E-8	1.761309E-8	1.610753E-8	2.252075E-8
2.050781E+2	1.886571E-8	1.304977E-8	1.344101E-8	2.235659E-8	1.810821E-8	1.737942E-8	1.589414E-8	2.179397E-8
2.148437E+2	1.661356E-8	1.737954E-8	1.602049E-8	2.385529E-8	1.794895E-8	1.714093E-8	1.567634E-8	2.108048E-8
2.246094E+2	2.177796E-8	1.438164E-8	1.653233E-8	1.915789E-8	1.778526E-8	1.689825E-8	1.545471E-8	2.038217E-8
2.343750E+2	1.847630E-8	1.570076E-8	1.696925E-8	2.030625E-8	1.761745E-8	1.665201E-8	1.522983E-8	1.970057E-8
2.441406E+2	1.962544E-8	1.427550E-8	1.316404E-8	1.915572E-8	1.744584E-8	1.640283E-8	1.500223E-8	1.903687E-8
2.539062E+2	1.776020E-8	1.720117E-8	1.460243E-8	1.528717E-8	1.727073E-8	1.615127E-8	1.477246E-8	1.839196E-8
2.636719E+2	1.599149E-8	1.554722E-8	1.462706E-8	1.627682E-8	1.709245E-8	1.589789E-8	1.454103E-8	1.776649E-8
2.734375E+2	1.618735E-8	1.361069E-8	1.309137E-8	1.744543E-8	1.691129E-8	1.564323E-8	1.430840E-8	1.716087E-8
2.832031E+2	1.657376E-8	1.572987E-8	1.174540E-8	1.767276E-8	1.672755E-8	1.538777E-8	1.407504E-8	1.657530E-8
2.929687E+2	1.626413E-8	1.831524E-8	1.252113E-8	1.819602E-8	1.654152E-8	1.513199E-8	1.384138E-8	1.600984E-8
3.027344E+2	1.564741E-8	1.463919E-8	1.557196E-8	1.530788E-8	1.635349E-8	1.487633E-8	1.360781E-8	1.546439E-8
3.125000E+2	1.761584E-8	1.411392E-8	1.626105E-8	1.375390E-8	1.616373E-8	1.462120E-8	1.337472E-8	1.493875E-8
3.222656E+2	1.577646E-8	1.367602E-8	1.694348E-8	1.540322E-8	1.597250E-8	1.436698E-8	1.314246E-8	1.443260E-8
3.320312E+2	1.493415E-8	1.456710E-8	1.588056E-8	1.452209E-8	1.578007E-8	1.411403E-8	1.291134E-8	1.394557E-8
3.417969E+2	1.289810E-8	1.566447E-8	1.397104E-8	1.651626E-8	1.558668E-8	1.386267E-8	1.268167E-8	1.347720E-8
3.515625E+2	1.322293E-8	1.368622E-8	1.285937E-8	2.096704E-8	1.539257E-8	1.361321E-8	1.245371E-8	1.302700E-8
3.613281E+2	1.482743E-8	1.409776E-8	1.486301E-8	1.509742E-8	1.519797E-8	1.336591E-8	1.222773E-8	1.259444E-8
3.710937E+2	1.609374E-8	1.277897E-8	1.410229E-8	1.267966E-8	1.500310E-8	1.312102E-8	1.200394E-8	1.217896E-8
3.808594E+2	1.939808E-8	1.060840E-8	1.208497E-8	1.410332E-8	1.480817E-8	1.287876E-8	1.178255E-8	1.177998E-8
3.906250E+2	1.722649E-8	1.080331E-8	1.360116E-8	1.401469E-8	1.461336E-8	1.263934E-8	1.156373E-8	1.139693E-8
4.003906E+2	1.473256E-8	1.247088E-8	1.386541E-8	1.434047E-8	1.441888E-8	1.240292E-8	1.134766E-8	1.102921E-8
4.101562E+2	1.342479E-8	1.164507E-8	1.168131E-8	1.557418E-8	1.422489E-8	1.216967E-8	1.113447E-8	1.067623E-8
4.199219E+2	1.151629E-8	9.588695E-9	1.386017E-8	1.342997E-8	1.403156E-8	1.193972E-8	1.092429E-8	1.033743E-8
4.296875E+2	1.657525E-8	9.021978E-9	1.426347E-8	1.312428E-8	1.383905E-8	1.171319E-8	1.071723E-8	1.001222E-8
4.394531E+2	1.737168E-8	1.091453E-8	1.074991E-8	1.589517E-8	1.364751E-8	1.149017E-8	1.051337E-8	9.700042E-9
4.492187E+2	1.232608E-8	1.173688E-8	1.074468E-8	1.645277E-8	1.345707E-8	1.127076E-8	1.031280E-8	9.400359E-9
4.589844E+2	1.197151E-8	1.231868E-8	1.309432E-8	1.573148E-8	1.326785E-8	1.105501E-8	1.011557E-8	9.112637E-9
4.687500E+2	1.082663E-8	9.573513E-9	1.376225E-8	1.280808E-8	1.307998E-8	1.084299E-8	9.921748E-9	8.836361E-9
4.785156E+2	1.111672E-8	9.087471E-9	1.221019E-8	1.156951E-8	1.289357E-8	1.063474E-8	9.731358E-9	8.571035E-9
